Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering
22:21:11,2026-01-09,ACC-S00196,ACC-R01968,801.96,USD,USD,Switzerland,India,Cash Transfer,0
22:22:05,2026-01-09,ACC-S00488,ACC-R00776,1194.59,GBP,GBP,Canada,United States,Credit Card,0
22:23:46,2026-01-09,ACC-S00085,ACC-R01392,429.72,USD,USD,Switzerland,United Kingdom,Cheque,0
22:24:59,2026-01-09,ACC-S00504,ACC-R01287,1036.42,CAD,CAD,France,United States,Debit Card,0
22:25:29,2026-01-09,ACC-S01776,ACC-R01865,867.61,GBP,GBP,India,United Kingdom,Credit Card,0
22:27:42,2026-01-09,ACC-S00780,ACC-R01227,67.62,GBP,GBP,Germany,Germany,ACH,0
22:27:50,2026-01-09,ACC-S01348,ACC-R00886,86.89,GBP,GBP,Japan,United States,Wire,0
22:28:32,2026-01-09,ACC-S01915,ACC-R01647,687.97,AUD,AUD,Germany,Singapore,Debit Card,0
22:32:12,2026-01-09,ACC-S01317,ACC-R00499,389.97,EUR,EUR,Japan,France,Credit Card,0
22:35:19,2026-01-09,ACC-S00599,ACC-R01162,992.76,CAD,CAD,Singapore,Singapore,ACH,0
22:40:19,2026-01-09,ACC-S01480,ACC-R01124,197.39,GBP,GBP,France,Japan,Cash Transfer,0
22:45:13,2026-01-09,ACC-S00113,ACC-R00834,301.04,USD,USD,Canada,India,ACH,0
22:45:58,2026-01-09,ACC-S01430,ACC-R01913,600.08,AUD,GBP,Singapore,Japan,Wire,0
22:50:08,2026-01-09,ACC-S01462,ACC-R01244,1564.27,JPY,JPY,Brazil,Singapore,Credit Card,0
22:51:25,2026-01-09,ACC-S01098,ACC-R00910,253.77,CAD,CAD,United Kingdom,United Kingdom,Credit Card,0
22:51:44,2026-01-09,ACC-S01387,ACC-R00039,408.95,AUD,AUD,Brazil,Australia,Cheque,0
22:52:38,2026-01-09,ACC-S01136,ACC-R00818,122.02,JPY,JPY,Singapore,India,Credit Card,0
22:54:57,2026-01-09,ACC-S01521,ACC-R01134,89.8,USD,USD,Brazil,United Kingdom,Debit Card,0
22:56:38,2026-01-09,ACC-S01032,ACC-R01631,1003.42,GBP,GBP,Japan,Canada,Wire,0
22:57:35,2026-01-09,ACC-S01533,ACC-R01907,332.03,GBP,GBP,Australia,Brazil,Cheque,0
22:59:06,2026-01-09,ACC-S00986,ACC-R01096,121.73,USD,USD,Switzerland,Japan,Wire,0
23:03:26,2026-01-09,ACC-S01817,ACC-R01313,1048.43,CAD,CAD,Australia,United Kingdom,Cash Transfer,0
23:04:32,2026-01-09,ACC-S01434,ACC-R01897,984.99,AUD,AUD,United Kingdom,Japan,Wire,0
23:05:01,2026-01-09,ACC-S01029,ACC-R01762,582.17,CAD,GBP,Singapore,United States,Debit Card,0
23:11:52,2026-01-09,ACC-S00490,ACC-R01135,419.93,CAD,CAD,Brazil,United Kingdom,ACH,0
23:12:55,2026-01-09,ACC-S00859,ACC-R01235,859.05,USD,USD,Germany,Japan,Cheque,0
23:16:15,2026-01-09,ACC-S01174,ACC-R00660,1011.27,EUR,EUR,Canada,Singapore,Cash Transfer,0
23:17:31,2026-01-09,ACC-S00487,ACC-R01962,485.64,AUD,AUD,United Kingdom,Australia,Credit Card,0
23:18:25,2026-01-09,ACC-S00817,ACC-R01262,151.33,AUD,AUD,Switzerland,Brazil,Wire,0
23:20:11,2026-01-09,ACC-S00694,ACC-R00973,1338.41,CAD,CAD,Japan,United Kingdom,Wire,0
23:21:33,2026-01-09,ACC-S00695,ACC-R01949,760.22,JPY,JPY,Germany,Brazil,Wire,0
23:21:54,2026-01-09,ACC-S01180,ACC-R00207,590.47,EUR,EUR,United Kingdom,France,Wire,0
23:23:25,2026-01-09,ACC-S01498,ACC-R00410,529.35,GBP,GBP,Singapore,Canada,Cheque,0
23:23:26,2026-01-09,ACC-S00906,ACC-R00813,562.43,GBP,GBP,United States,Germany,Credit Card,0
23:24:19,2026-01-09,ACC-S00137,ACC-R01163,295.02,CAD,CAD,United Kingdom,Brazil,Credit Card,0
23:25:54,2026-01-09,ACC-S01162,ACC-R01326,251.36,CAD,CAD,Switzerland,Switzerland,Cheque,0
23:30:47,2026-01-09,ACC-S00713,ACC-R01986,191.02,AUD,AUD,Switzerland,United States,Cheque,0
23:32:32,2026-01-09,ACC-S00240,ACC-R01888,1976.28,CAD,CAD,Germany,Japan,ACH,0
23:35:35,2026-01-09,ACC-S01839,ACC-R01016,524.26,CAD,CAD,Germany,Canada,ACH,0
23:35:35,2026-01-09,ACC-S00328,ACC-R01135,1066.79,GBP,GBP,France,United Kingdom,Cash Transfer,0
23:36:11,2026-01-09,ACC-S00011,ACC-R01677,154.96,CAD,CAD,United Kingdom,Japan,Cheque,0
23:43:00,2026-01-09,ACC-S00632,ACC-R01819,235.18,JPY,JPY,Canada,Singapore,ACH,0
23:43:40,2026-01-09,ACC-S00459,ACC-R01477,341.47,EUR,EUR,Germany,Switzerland,Credit Card,0
23:44:27,2026-01-09,ACC-S01934,ACC-R00138,618.34,JPY,JPY,Canada,Canada,Cash Transfer,0
23:48:10,2026-01-09,ACC-S00943,ACC-R01485,47.38,CAD,CAD,United Kingdom,Germany,Wire,0
23:54:46,2026-01-09,ACC-S01880,ACC-R01364,773.1,EUR,GBP,Singapore,Japan,Debit Card,0
23:55:35,2026-01-09,ACC-S00490,ACC-R01563,927.92,EUR,EUR,Brazil,France,Wire,0
23:55:48,2026-01-09,ACC-S01330,ACC-R00990,696.88,AUD,GBP,India,United States,Credit Card,0
23:57:43,2026-01-09,ACC-S01640,ACC-R00818,1864.99,USD,USD,Japan,France,Wire,0
23:57:47,2026-01-09,ACC-S01808,ACC-R01582,1288.93,EUR,JPY,Germany,Brazil,Cash Transfer,0
00:04:48,2026-01-10,ACC-S01293,ACC-R01759,632.57,CAD,CAD,Canada,Germany,Credit Card,0
00:05:49,2026-01-10,ACC-S00933,ACC-R00613,638.72,EUR,EUR,France,Canada,Wire,0
00:07:45,2026-01-10,ACC-S01133,ACC-R00909,71.04,GBP,GBP,India,Switzerland,ACH,0
00:08:10,2026-01-10,ACC-S01832,ACC-R01429,396.84,GBP,EUR,Switzerland,Canada,Debit Card,0
00:09:32,2026-01-10,ACC-S00896,ACC-R01780,417.6,EUR,EUR,Canada,India,Credit Card,0
00:12:41,2026-01-10,ACC-S00834,ACC-R01281,4304.82,CAD,CAD,France,Germany,Credit Card,0
00:12:50,2026-01-10,ACC-S00651,ACC-R00105,1767.42,EUR,EUR,Japan,United States,Wire,0
00:14:09,2026-01-10,BAD-VEL013,ACC-R01988,674.42,CAD,CAD,Brazil,Switzerland,Wire,1
00:16:43,2026-01-10,ACC-S01647,ACC-R01115,918.5,AUD,CAD,Brazil,Singapore,Wire,0
00:17:53,2026-01-10,ACC-S00552,ACC-R00822,760.51,USD,USD,Australia,Singapore,Wire,0
00:18:02,2026-01-10,ACC-S00558,ACC-R01801,353.06,EUR,EUR,Switzerland,Singapore,Cash Transfer,0
00:18:57,2026-01-10,ACC-S01590,ACC-R00108,280.06,CAD,CAD,India,Brazil,Wire,0
00:19:18,2026-01-10,ACC-S01469,ACC-R00205,793.57,CAD,CAD,Switzerland,United States,Debit Card,0
00:19:28,2026-01-10,ACC-S01452,ACC-R01698,809.23,USD,USD,Singapore,Germany,Debit Card,0
00:19:44,2026-01-10,ACC-S01305,ACC-R00842,968.95,EUR,EUR,United Kingdom,France,Debit Card,0
00:19:55,2026-01-10,ACC-S01778,ACC-R00397,1006.66,GBP,GBP,Australia,Switzerland,Debit Card,0
00:27:35,2026-01-10,ACC-S00503,ACC-R01512,948.68,CAD,CAD,Brazil,Japan,Cheque,0
00:27:56,2026-01-10,ACC-S00059,ACC-R00356,808.2,CAD,CAD,France,Germany,Credit Card,0
00:41:23,2026-01-10,ACC-S00662,ACC-R01049,115.5,JPY,JPY,Australia,Australia,Wire,0
00:43:41,2026-01-10,ACC-S00157,ACC-R01112,486.61,JPY,JPY,Singapore,Switzerland,Debit Card,0
00:50:07,2026-01-10,ACC-S01391,ACC-R01704,667.15,EUR,EUR,France,France,Wire,0
00:50:23,2026-01-10,ACC-S00679,ACC-R01387,75.78,JPY,JPY,India,Switzerland,Cash Transfer,0
00:51:56,2026-01-10,ACC-S01775,ACC-R01097,906.19,JPY,JPY,United States,United States,Credit Card,0
00:52:29,2026-01-10,ACC-S01796,ACC-R01876,1509.15,AUD,CAD,Canada,Brazil,Wire,0
00:53:41,2026-01-10,ACC-S01856,ACC-R01362,427.39,USD,USD,Singapore,India,Credit Card,0
00:57:29,2026-01-10,ACC-S01273,ACC-R00902,1394.13,EUR,EUR,Singapore,United Kingdom,ACH,0
01:00:15,2026-01-10,ACC-S00495,ACC-R00551,1992.69,JPY,JPY,Japan,Switzerland,Credit Card,0
01:01:50,2026-01-10,ACC-S01597,ACC-R01969,979.53,GBP,GBP,France,France,ACH,0
01:06:15,2026-01-10,ACC-S00194,ACC-R00202,264.64,CAD,CAD,India,Canada,Cash Transfer,0
01:06:38,2026-01-10,ACC-S01441,ACC-R00413,139.57,USD,JPY,Switzerland,Germany,Wire,0
01:09:38,2026-01-10,ACC-S00654,ACC-R01638,944.12,AUD,AUD,Japan,United States,Credit Card,0
01:17:03,2026-01-10,ACC-S00804,ACC-R01973,473.69,USD,GBP,Australia,Canada,Wire,0
01:20:25,2026-01-10,ACC-S01875,ACC-R01875,143.86,GBP,GBP,Brazil,India,ACH,0
01:40:47,2026-01-10,ACC-S01068,ACC-R01355,124.47,JPY,JPY,France,Australia,Cheque,0
01:43:49,2026-01-10,ACC-S00813,ACC-R00097,502.72,GBP,GBP,Australia,France,Cash Transfer,0
01:44:27,2026-01-10,ACC-S00864,ACC-R00182,175.82,CAD,CAD,Brazil,Singapore,Cash Transfer,0
01:46:32,2026-01-10,ACC-S00718,ACC-R01074,960.27,EUR,EUR,United Kingdom,Japan,Debit Card,0
01:50:28,2026-01-10,ACC-S01230,ACC-R01549,996.84,AUD,AUD,Canada,Germany,Cheque,0
01:52:28,2026-01-10,ACC-S01775,ACC-R01752,708.12,USD,USD,United States,Japan,Cheque,0
01:53:05,2026-01-10,ACC-S01554,ACC-R01534,1074.86,JPY,JPY,Canada,Japan,Cheque,0
01:53:13,2026-01-10,ACC-S01383,ACC-R00595,178.23,GBP,GBP,India,Singapore,Wire,0
01:56:42,2026-01-10,ACC-S01427,ACC-R01195,760.49,CAD,CAD,United Kingdom,Japan,Cash Transfer,0
01:57:54,2026-01-10,ACC-S01314,ACC-R00730,62.1,USD,USD,India,Australia,Wire,0
02:02:19,2026-01-10,ACC-S01381,ACC-R01022,145.62,USD,USD,Singapore,Australia,Debit Card,0
02:02:30,2026-01-10,ACC-S00632,ACC-R01077,274.91,JPY,JPY,Canada,Japan,ACH,0
02:10:55,2026-01-10,ACC-S01752,ACC-R01169,1128.17,JPY,JPY,Singapore,United Kingdom,ACH,0
02:13:45,2026-01-10,ACC-S00143,ACC-R01307,126.03,EUR,EUR,Canada,Australia,Cash Transfer,0
02:18:57,2026-01-10,ACC-S01774,ACC-R01625,1087.09,EUR,EUR,Brazil,France,Credit Card,0
02:19:32,2026-01-10,ACC-S00578,ACC-R00126,790.9,GBP,GBP,France,Canada,Wire,0
02:21:24,2026-01-10,ACC-S00639,ACC-R00430,1022.62,EUR,AUD,Germany,Australia,Wire,0
02:21:53,2026-01-10,ACC-S00395,ACC-R01272,36.1,EUR,EUR,Brazil,Switzerland,Cheque,0
02:22:03,2026-01-10,ACC-S01500,ACC-R00114,1236.92,GBP,GBP,United Kingdom,France,Cheque,0
02:30:18,2026-01-10,ACC-S01392,ACC-R00713,898.2,AUD,AUD,Germany,Canada,Cash Transfer,0
02:31:32,2026-01-10,BAD-VEL013,ACC-R01988,1517.95,CAD,CAD,Brazil,Switzerland,Wire,1
02:35:10,2026-01-10,ACC-S01000,ACC-R01872,2362.47,USD,USD,Brazil,Switzerland,Cheque,0
02:39:47,2026-01-10,ACC-S01102,ACC-R01157,39.94,EUR,EUR,Switzerland,Germany,Wire,0
02:51:51,2026-01-10,ACC-S01271,ACC-R01759,847.1,JPY,JPY,United States,Australia,Wire,0
02:53:20,2026-01-10,ACC-S01178,ACC-R00973,673.22,EUR,EUR,United Kingdom,Australia,Wire,0
02:53:58,2026-01-10,ACC-S01207,ACC-R00568,427.37,AUD,AUD,Singapore,India,Debit Card,0
02:55:18,2026-01-10,ACC-S00717,ACC-R00714,706.8,GBP,GBP,India,Canada,Credit Card,0
02:55:22,2026-01-10,ACC-S00191,ACC-R01095,1302.54,JPY,JPY,Switzerland,Switzerland,Debit Card,0
02:56:33,2026-01-10,ACC-S00884,ACC-R00084,1000.26,AUD,AUD,India,Brazil,Cash Transfer,0
03:02:53,2026-01-10,ACC-S01032,ACC-R01895,816.02,JPY,JPY,Japan,Germany,Wire,0
03:08:38,2026-01-10,ACC-S01294,ACC-R00555,68.82,JPY,JPY,Australia,Singapore,Cheque,0
03:10:01,2026-01-10,ACC-S00563,ACC-R01101,159.65,JPY,JPY,Canada,Singapore,Credit Card,0
03:11:09,2026-01-10,ACC-S00255,ACC-R01063,395.82,AUD,AUD,Singapore,France,ACH,0
03:12:38,2026-01-10,ACC-S00283,ACC-R01728,1650.28,USD,USD,United States,Brazil,ACH,0
03:13:44,2026-01-10,ACC-S00895,ACC-R01271,81.63,AUD,AUD,United States,Brazil,Debit Card,0
03:14:59,2026-01-10,ACC-S01462,ACC-R00424,1194.0,AUD,AUD,Brazil,Australia,Debit Card,0
03:15:19,2026-01-10,ACC-S01706,ACC-R01837,130.45,USD,USD,India,France,ACH,0
03:18:29,2026-01-10,ACC-S00631,ACC-R00900,1666.52,USD,USD,United Kingdom,Japan,Credit Card,0
03:24:56,2026-01-10,ACC-S01137,ACC-R00516,537.23,GBP,GBP,United States,Australia,Wire,0
03:30:06,2026-01-10,ACC-S00170,ACC-R01860,990.15,USD,USD,Germany,Australia,ACH,0
03:32:07,2026-01-10,ACC-S00365,ACC-R00441,979.74,AUD,AUD,France,Switzerland,Wire,0
03:33:21,2026-01-10,ACC-S01226,ACC-R00535,401.24,EUR,EUR,Brazil,Australia,Credit Card,0
03:38:02,2026-01-10,ACC-S01092,ACC-R00181,793.37,USD,USD,Germany,India,Cash Transfer,0
03:41:57,2026-01-10,ACC-S00496,ACC-R01563,240.83,EUR,EUR,Australia,United States,Cheque,0
03:42:06,2026-01-10,ACC-S01208,ACC-R00402,640.11,JPY,JPY,Brazil,United States,ACH,0
03:42:50,2026-01-10,ACC-S00195,ACC-R01133,558.28,USD,USD,Singapore,Brazil,Cheque,0
03:44:38,2026-01-10,ACC-S01441,ACC-R00419,594.63,CAD,CAD,Switzerland,Singapore,Cash Transfer,0
03:44:57,2026-01-10,ACC-S00629,ACC-R01402,554.21,USD,USD,Canada,United Kingdom,Cheque,0
03:45:06,2026-01-10,ACC-S01255,ACC-R01644,1280.61,GBP,GBP,France,Brazil,Credit Card,0
03:52:33,2026-01-10,ACC-S00117,ACC-R00647,340.91,CAD,CAD,Switzerland,Germany,Wire,0
03:54:11,2026-01-10,ACC-S00991,ACC-R00244,411.58,GBP,GBP,United States,India,Cash Transfer,0
03:56:32,2026-01-10,ACC-S01338,ACC-R01985,966.33,GBP,GBP,Germany,United States,ACH,0
04:02:30,2026-01-10,ACC-S00376,ACC-R01651,3193.12,JPY,JPY,Switzerland,India,Credit Card,0
04:13:52,2026-01-10,ACC-S00950,ACC-R01758,1942.67,AUD,AUD,Canada,Germany,Credit Card,0
04:23:18,2026-01-10,ACC-S01644,ACC-R01416,1142.85,EUR,EUR,Australia,France,Debit Card,0
04:35:48,2026-01-10,ACC-S00354,ACC-R01889,303.49,AUD,AUD,Canada,Canada,Wire,0
04:39:56,2026-01-10,ACC-S00741,ACC-R00478,609.85,AUD,AUD,Germany,Canada,Debit Card,0
04:41:31,2026-01-10,ACC-S00093,ACC-R01301,89.27,GBP,GBP,France,Germany,Debit Card,0
04:42:40,2026-01-10,ACC-S00095,ACC-R00088,2113.66,USD,USD,Australia,United States,Credit Card,0
04:46:09,2026-01-10,ACC-S01797,ACC-R00552,365.6,AUD,AUD,India,Germany,ACH,0
04:48:42,2026-01-10,ACC-S01820,ACC-R00499,733.5,CAD,CAD,Canada,Switzerland,Cash Transfer,0
04:49:15,2026-01-10,ACC-S00036,ACC-R00121,295.68,EUR,EUR,Germany,Switzerland,Cash Transfer,0
04:49:47,2026-01-10,ACC-S00720,ACC-R00226,2020.12,JPY,JPY,United States,Australia,ACH,0
04:53:54,2026-01-10,ACC-S01285,ACC-R01723,1405.19,EUR,EUR,Switzerland,Australia,Debit Card,0
05:06:33,2026-01-10,ACC-S01317,ACC-R00051,656.69,EUR,EUR,Japan,Switzerland,ACH,0
05:07:11,2026-01-10,ACC-S00834,ACC-R01291,2346.95,AUD,AUD,France,France,Cash Transfer,0
05:16:13,2026-01-10,ACC-S00821,ACC-R00610,1215.29,AUD,AUD,United Kingdom,Australia,ACH,0
05:17:05,2026-01-10,ACC-S01860,ACC-R00542,125.52,AUD,AUD,Canada,United States,Debit Card,0
05:18:57,2026-01-10,ACC-S01712,ACC-R01267,223.59,USD,USD,Singapore,Brazil,Debit Card,0
05:21:41,2026-01-10,ACC-S01334,ACC-R01759,155.27,JPY,JPY,Canada,Japan,Cheque,0
05:22:03,2026-01-10,ACC-S00603,ACC-R01317,2000.25,JPY,JPY,United Kingdom,Switzerland,Credit Card,0
05:28:19,2026-01-10,ACC-S00974,ACC-R00577,1126.04,USD,CAD,Germany,United States,Credit Card,0
05:31:03,2026-01-10,ACC-S00009,ACC-R00232,147.0,USD,USD,India,United Kingdom,Wire,0
05:34:33,2026-01-10,ACC-S01879,ACC-R01201,229.1,CAD,CAD,India,Switzerland,ACH,0
05:36:41,2026-01-10,ACC-S01501,ACC-R00447,158.46,EUR,GBP,United Kingdom,Brazil,Cash Transfer,0
05:37:28,2026-01-10,BAD-VEL013,ACC-R01988,1815.86,JPY,JPY,Brazil,Switzerland,Wire,1
05:38:05,2026-01-10,ACC-S00187,ACC-R01971,718.42,CAD,CAD,United Kingdom,Brazil,ACH,0
05:39:15,2026-01-10,ACC-S01559,ACC-R01991,544.29,JPY,USD,Germany,Switzerland,Credit Card,0
05:41:51,2026-01-10,ACC-S01303,ACC-R00597,218.47,CAD,CAD,Switzerland,Switzerland,Debit Card,0
05:42:29,2026-01-10,ACC-S01816,ACC-R00079,1604.52,JPY,CAD,Switzerland,India,Cash Transfer,0
05:47:47,2026-01-10,BAD-VEL013,ACC-R01988,1791.22,JPY,JPY,Brazil,Switzerland,Wire,1
05:48:49,2026-01-10,ACC-S00124,ACC-R00206,1405.77,EUR,EUR,France,Switzerland,Credit Card,0
05:49:03,2026-01-10,ACC-S01605,ACC-R01342,77.16,USD,USD,India,Singapore,Debit Card,0
05:59:54,2026-01-10,ACC-S01359,ACC-R00381,949.73,JPY,JPY,Singapore,Germany,Cheque,0
06:03:41,2026-01-10,ACC-S00538,ACC-R00578,287.75,JPY,JPY,Germany,United Kingdom,ACH,0
06:04:08,2026-01-10,ACC-S01199,ACC-R00110,192.38,JPY,JPY,Germany,Japan,Cheque,0
06:07:21,2026-01-10,ACC-S00194,ACC-R00836,147.78,AUD,AUD,India,France,ACH,0
06:09:12,2026-01-10,ACC-S00176,ACC-R01945,907.68,EUR,EUR,Brazil,Japan,Credit Card,0
06:09:18,2026-01-10,ACC-S00482,ACC-R01097,326.05,GBP,GBP,Japan,India,Cheque,0
06:12:27,2026-01-10,ACC-S00729,ACC-R01901,1738.7,JPY,JPY,Singapore,India,Debit Card,0
06:13:22,2026-01-10,ACC-S01282,ACC-R00074,754.81,AUD,AUD,Germany,Singapore,Credit Card,0
06:15:10,2026-01-10,ACC-S01012,ACC-R00713,74.74,USD,USD,Canada,France,Cash Transfer,0
06:28:19,2026-01-10,ACC-S00474,ACC-R00967,115.09,JPY,JPY,Japan,Australia,Debit Card,0
06:28:51,2026-01-10,ACC-S01957,ACC-R00751,330.96,JPY,JPY,United States,Australia,Debit Card,0
06:31:12,2026-01-10,ACC-S01298,ACC-R01278,1029.47,CAD,CAD,Germany,United States,Cheque,0
06:33:46,2026-01-10,ACC-S00602,ACC-R01997,842.5,GBP,GBP,France,United States,Cash Transfer,0
06:33:52,2026-01-10,ACC-S01717,ACC-R01243,1260.55,EUR,EUR,Canada,Australia,ACH,0
06:38:00,2026-01-10,ACC-S01840,ACC-R00368,2064.17,JPY,JPY,Brazil,United Kingdom,Cash Transfer,0
06:46:54,2026-01-10,ACC-S00717,ACC-R00181,915.07,JPY,JPY,India,Canada,Credit Card,0
06:47:21,2026-01-10,ACC-S01567,ACC-R00856,2717.36,AUD,AUD,United Kingdom,Germany,Debit Card,0
06:50:14,2026-01-10,ACC-S00574,ACC-R01164,816.37,EUR,EUR,France,United States,ACH,0
07:00:23,2026-01-10,ACC-S00745,ACC-R01016,371.21,AUD,AUD,United States,France,Cheque,0
07:00:39,2026-01-10,ACC-S01733,ACC-R00312,106.51,USD,USD,United Kingdom,Brazil,Credit Card,0
07:01:45,2026-01-10,ACC-S01940,ACC-R01933,542.11,CAD,CAD,Japan,Germany,Wire,0
07:05:21,2026-01-10,ACC-S01416,ACC-R01055,189.34,CAD,CAD,Australia,United States,Cheque,0
07:07:13,2026-01-10,ACC-S00028,ACC-R01603,1001.83,USD,GBP,Singapore,Singapore,Cash Transfer,0
07:09:15,2026-01-10,ACC-S01722,ACC-R01493,794.93,USD,USD,Switzerland,United Kingdom,Credit Card,0
07:10:19,2026-01-10,ACC-S00356,ACC-R00065,499.53,JPY,JPY,Australia,Switzerland,Cash Transfer,0
07:12:51,2026-01-10,ACC-S01335,ACC-R00416,1391.22,EUR,EUR,India,United States,Cash Transfer,0
07:15:10,2026-01-10,ACC-S01460,ACC-R01068,649.05,EUR,EUR,Germany,France,Cash Transfer,0
07:17:32,2026-01-10,ACC-S00402,ACC-R01599,631.27,JPY,JPY,Switzerland,Singapore,Cheque,0
07:19:59,2026-01-10,ACC-S00256,ACC-R01644,189.93,USD,USD,United States,Switzerland,Cheque,0
07:20:37,2026-01-10,ACC-S00212,ACC-R01006,382.54,JPY,JPY,Singapore,India,Cheque,0
07:22:08,2026-01-10,ACC-S00994,ACC-R01239,1284.96,USD,USD,Brazil,France,ACH,0
07:24:38,2026-01-10,ACC-S00795,ACC-R01674,467.93,EUR,EUR,United Kingdom,Canada,Cheque,0
07:24:47,2026-01-10,ACC-S01343,ACC-R00107,1863.97,EUR,EUR,United Kingdom,Singapore,ACH,0
07:31:12,2026-01-10,ACC-S01480,ACC-R00017,290.11,GBP,GBP,France,United States,Cheque,0
07:31:51,2026-01-10,ACC-S01483,ACC-R01516,74.78,CAD,CAD,France,India,ACH,0
07:33:13,2026-01-10,ACC-S00052,ACC-R00763,497.6,CAD,CAD,United Kingdom,Australia,Debit Card,0
07:39:25,2026-01-10,ACC-S00702,ACC-R01168,230.69,AUD,AUD,France,United Kingdom,Credit Card,0
07:45:46,2026-01-10,ACC-S00993,ACC-R00630,1190.92,AUD,AUD,Australia,Singapore,Wire,0
07:46:33,2026-01-10,ACC-S01831,ACC-R01043,257.86,GBP,GBP,United Kingdom,Australia,ACH,0
07:50:00,2026-01-10,ACC-S00757,ACC-R01564,1165.67,GBP,GBP,Canada,United Kingdom,Cheque,0
07:52:50,2026-01-10,ACC-S01215,ACC-R01046,717.18,CAD,CAD,Canada,Singapore,ACH,0
07:56:54,2026-01-10,BAD-STR008,REC-STR008,9083.9,CAD,CAD,United States,Canada,Cash Transfer,1
07:56:57,2026-01-10,ACC-S00004,ACC-R01557,1610.29,EUR,EUR,Canada,United Kingdom,Cheque,0
07:57:11,2026-01-10,ACC-S01333,ACC-R00837,132.1,JPY,JPY,Singapore,Brazil,Cheque,0
08:01:57,2026-01-10,ACC-S00102,ACC-R01892,56.03,JPY,JPY,United Kingdom,Canada,Cash Transfer,0
08:02:55,2026-01-10,ACC-S00116,ACC-R01680,900.43,EUR,EUR,Switzerland,Brazil,Credit Card,0
08:05:43,2026-01-10,ACC-S00148,ACC-R01381,1010.45,GBP,GBP,India,Germany,Wire,0
08:07:16,2026-01-10,ACC-S00119,ACC-R00786,982.95,GBP,GBP,Brazil,Australia,Cheque,0
08:17:07,2026-01-10,ACC-S01873,ACC-R01387,272.85,JPY,JPY,Germany,Japan,Debit Card,0
08:17:43,2026-01-10,ACC-S00997,ACC-R01399,996.95,CAD,CAD,United Kingdom,Brazil,Cash Transfer,0
08:20:35,2026-01-10,ACC-S01941,ACC-R00355,299.65,AUD,AUD,India,France,Credit Card,0
08:21:06,2026-01-10,BAD-VEL013,ACC-R01988,2391.97,USD,USD,Brazil,Switzerland,Wire,1
08:25:50,2026-01-10,ACC-S00337,ACC-R01437,1652.06,USD,USD,United Kingdom,France,Cash Transfer,0
08:27:59,2026-01-10,ACC-S00543,ACC-R01581,93.48,EUR,EUR,Switzerland,India,Cash Transfer,0
08:31:16,2026-01-10,ACC-S01911,ACC-R00122,126.9,USD,USD,United Kingdom,Japan,Cheque,0
08:32:20,2026-01-10,ACC-S01482,ACC-R01396,1250.07,EUR,EUR,Singapore,Japan,Cheque,0
08:34:15,2026-01-10,ACC-S01702,ACC-R01704,66.46,AUD,AUD,Singapore,Brazil,Debit Card,0
08:35:57,2026-01-10,ACC-S01112,ACC-R01660,945.49,CAD,CAD,Singapore,France,Debit Card,0
08:39:09,2026-01-10,ACC-S00712,ACC-R00872,32.71,USD,USD,United States,Brazil,Cheque,0
08:42:34,2026-01-10,ACC-S01649,ACC-R01176,1922.27,CAD,JPY,India,Singapore,Credit Card,0
08:43:00,2026-01-10,ACC-S01118,ACC-R00757,775.52,EUR,EUR,Switzerland,France,Credit Card,0
08:48:35,2026-01-10,ACC-S00647,ACC-R00570,1782.63,AUD,AUD,Japan,Singapore,Cash Transfer,0
08:52:20,2026-01-10,ACC-S00100,ACC-R01785,378.28,EUR,EUR,Japan,Australia,ACH,0
08:52:22,2026-01-10,ACC-S01893,ACC-R01041,1569.89,EUR,EUR,Japan,Brazil,Credit Card,0
08:53:23,2026-01-10,ACC-S00595,ACC-R01480,812.34,AUD,GBP,Japan,Canada,Credit Card,0
08:54:20,2026-01-10,ACC-S01600,ACC-R01225,935.35,EUR,EUR,Australia,Japan,Cash Transfer,0
08:57:23,2026-01-10,ACC-S01341,ACC-R01346,350.01,GBP,EUR,Canada,Japan,Credit Card,0
08:57:33,2026-01-10,ACC-S01296,ACC-R00876,875.37,EUR,EUR,Singapore,France,Credit Card,0
09:03:44,2026-01-10,ACC-S00573,ACC-R00648,935.24,CAD,GBP,France,Australia,Wire,0
09:04:57,2026-01-10,ACC-S01483,ACC-R00823,28.94,USD,USD,France,United Kingdom,Wire,0
09:13:30,2026-01-10,ACC-S00358,ACC-R01874,657.96,USD,USD,United States,Germany,ACH,0
09:15:00,2026-01-10,ACC-S00661,ACC-R01143,121.78,CAD,CAD,United States,United Kingdom,Cash Transfer,0
09:17:40,2026-01-10,ACC-S01492,ACC-R01506,1096.3,JPY,JPY,Australia,United States,Credit Card,0
09:17:49,2026-01-10,ACC-S01480,ACC-R00487,92.93,EUR,EUR,France,United Kingdom,Wire,0
09:18:19,2026-01-10,ACC-S01099,ACC-R00425,269.88,GBP,GBP,Canada,Australia,Wire,0
09:18:54,2026-01-10,ACC-S00807,ACC-R01011,172.03,AUD,AUD,Australia,United States,Cheque,0
09:22:08,2026-01-10,ACC-S00867,ACC-R01473,492.57,USD,USD,Canada,Germany,Debit Card,0
09:24:04,2026-01-10,ACC-S01207,ACC-R01104,449.05,CAD,CAD,Singapore,Brazil,Cheque,0
